"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: de","Country: ae / Role: NoReg","0","0","17","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: de","Country: ae / Role: NoReg","4","0","16","0","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: de","Country: ae / Role: NoAuth","12","0","4","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: de","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: ae / Role: NoAuth","2","0","2","0","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: ae / Role: NoAuth","5","0","4","1","0"
"US_11.00.00 | Learn to trade","Language: de","Country: ae / Role: Auth","0","0","0","3","0"
"US_01.03 | Markets > Menu item [Forex]","Language: de","Country: ae / Role: Auth","14","1","7","1","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: de","Country: ae / Role: Auth","6","0","10","1","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: de","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.00.00 | Learn to trade","Language: de","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: ae / Role: NoReg","0","0","3","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: ae / Role: Auth","0","0","5","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: de","Country: ae / Role: NoReg","0","0","9","6","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: de","Country: ae / Role: NoAuth","0","0","0","9","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: ae / Role: NoAuth","2","0","3","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: de","Country: ae / Role: NoAuth","3","0","3","0","0"
"US_11.00.00 | Learn to trade","Language: de","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: de","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: ae / Role: NoReg","0","0","0","5","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: ae / Role: NoAuth","0","0","2","1","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: de","Country: ae / Role: NoReg","0","0","17","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: de","Country: ae / Role: Auth","1","0","2","3","0"
"","","","0","0","0","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: de","Country: ae / Role: Auth","0","0","0","5","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: de","Country: ae / Role: NoAuth","0","0","0","6","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: de","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: ae / Role: NoReg","0","0","5","0","0"
"US_00 | Bugs Manual Detect","Language: de","Country: ae / Role: NoReg","1","0","0","0","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: de","Country: ae / Role: NoReg","0","0","0","9","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: de","Country: ae / Role: Auth","0","0","0","6","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: ae / Role: NoReg","0","0","10","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: ae / Role: Auth","0","0","2","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: de","Country: ae / Role: NoReg","0","0","0","6","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: de","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: ae / Role: Auth","0","0","4","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: de","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: ae / Role: Auth","0","0","0","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: ae / Role: Auth","0","0","0","3","0"
"US_00 | Bugs Manual Detect","Language: de","Country: ae / Role: Auth","1","0","0","0","0"
"US_00 | Bugs Manual Detect","Language: de","Country: ae / Role: NoAuth","1","0","0","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: de","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_55 | ReTest Manual Detected Bugs","Test-case: _005","Role: Auth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: ae / Role: Auth","0","0","1","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: de","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: ae / Role: NoAuth","0","0","0","1","0"
