"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.03 | Markets > Menu item [Forex]","Language: de","Country: de / Role: NoReg","5","0","15","1","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: de","Country: de / Role: Auth","0","0","6","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: de","Country: de / Role: Auth","1","0","3","2","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: de","Country: de / Role: Auth","0","0","0","5","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: de","Country: de / Role: Auth","6","1","10","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: de","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: de","Country: de / Role: Auth","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Language: de","Country: de / Role: NoAuth","2","0","7","2","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: de","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: de","Country: de / Role: NoReg","0","0","0","7","0"
"US_01.01 | Markets > Menu item [All markets]","Language: de","Country: de / Role: Auth","4","0","7","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: de","Country: de / Role: NoAuth","3","0","3","0","0"
"US_11.00.00 | Learn to trade","Language: de","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: de / Role: NoReg","0","0","4","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: de","Country: de / Role: Auth","12","0","8","0","0"
"US_11.03.07 | Education > Menu item [What is a margin?]","Language: de","Country: de / Role: NoReg","0","0","6","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: de","Country: de / Role: Auth","0","0","1","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: de / Role: NoAuth","0","0","0","5","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: de","Country: de / Role: Auth","5","0","10","3","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: de","Country: de / Role: NoReg","0","0","0","9","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: de / Role: NoReg","0","0","9","1","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: de / Role: NoAuth","5","0","4","1","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: de","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: de","Country: de / Role: NoReg","0","0","0","5","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: de","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: de / Role: NoAuth","2","0","2","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: de / Role: NoAuth","0","0","0","3","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: de","Country: de / Role: NoReg","0","0","0","4","0"
"US_11.03.02 | Education > Menu item [Day Trading]","Language: de","Country: de / Role: NoAuth","0","0","0","9","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: de / Role: Auth","0","0","0","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: de / Role: Auth","1","0","3","0","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: de","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Language: de","Country: de / Role: Auth","1","0","9","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: de / Role: Auth","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: de / Role: NoAuth","2","0","3","0","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: de","Country: de / Role: NoAuth","0","0","0","7","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: de / Role: Auth","0","0","0","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: de","Country: de / Role: Auth","0","0","0","5","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: de / Role: NoAuth","0","0","2","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: de","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: de / Role: NoReg","0","0","2","1","0"
"US_01.07 | Markets > Menu item [ESG]","Language: de","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: de / Role: Auth","0","0","0","3","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: de","Country: de / Role: NoAuth","0","0","0","4","0"
"US_01.07 | Markets > Menu item [ESG]","Language: de","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: de","Country: de / Role: NoReg","0","0","1","0","0"
"US_01.07 | Markets > Menu item [ESG]","Language: de","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: de / Role: Auth","0","0","1","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: de / Role: NoReg","0","0","0","1","0"
