"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: zh","Country: de / Role: NoReg","0","0","0","4","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: zh","Country: de / Role: NoAuth","0","0","1","0","0"
"US_01.0 | Markets > Menu item [Indices]","Language: zh","Country: de / Role: Auth","1","0","0","0","0"
"","","","0","3","0","0","0"
"US_01.0 | Markets > Menu item [Indices]","Language: zh","Country: de / Role: NoReg","1","0","0","0","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: zh","Country: de / Role: NoAuth","1","0","2","1","0"
"US_01.04 | Markets > Menu item [Shares]","Language: zh","Country: de / Role: Auth","2","0","0","0","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: zh","Country: de / Role: NoReg","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: zh","Country: de / Role: NoReg","0","0","0","3","0"
"US_01.0 | Markets > Menu item [Indices]","Language: zh","Country: de / Role: NoAuth","1","0","0","0","0"
"US_11.00.01 | Essentials of trading","Language: zh","Country: de / Role: Auth","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: zh","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: zh","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: zh","Country: de / Role: Auth","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: zh","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.01 | Essentials of trading","Language: zh","Country: de / Role: NoAuth","0","0","0","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: zh","Country: de / Role: NoReg","1","0","0","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: zh","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: zh","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.01 | Essentials of trading","Language: zh","Country: de / Role: NoReg","0","0","0","1","0"
